55159,B06,OPP ANG MO KIO COMM HOSP
46989,B14,OPP BLK 540
01429,B12,GOLDEN MILE CPLX
40279,B04,KK WOMEN \& CHILD HOSP
46299,B08,OPP BLK 106
43591,B05,OPP BT VIEW SEC SCH
56039,B24,AFT YIO CHU KANG RD
59161,B06,OPP BLK 201
83029,B06,BEF JAMIYAH HOME
76249,B14,BLK 370
42229,B05,AFT TOH TUCK TERR
51099,B03,CATHOLIC JC
17079,B12,BLK 512
52269,B04,BLK 73
71051,B04,AFT KIM CHUAN RD
21611,B11,BLK 367
46931,B01B,
96209,B02,
44829,B02,
80171,B04,
77251,B19,BLK 713
11349,B05,OPP GARLICK VILLE
21211,B09,OPP LAKEPOINT CONDO
28571,B02,BET BLK 415
19029,B06,OPP SP SMA
40049,B02,BEF NEWTON CIRCUS
71061,B02,BEF AIRPORT RD
47819,B11,OPP WOODLANDS SUNNY FOOD
45181,B30,OPP MANDAI CD TRG VILLAGE
41109,B04,OPP ST. MARGARET'S SEC SCH
71021,B05,OPP COMFORT TEST CTR
22359,B05,BEF BLK 717
97051,B07,OPP CHANGI WOMEN'S PRISON
63081,B14,OPP BLK 241
64611,B08,BLK 913
27391,B06,BLK 857
59141,B02,BLK 741
59049,B04,OPP KHATIB STN
63381,B13,XINMIN PR SCH
26461,NIL,HENG HUAT SHIP BLDG \& CONSTRUCTION
58299,B03,BLK 328
23011,B20,CARRIER TRANSICOLD PTE LTD
66149,B01,AFT YIO CHU KANG RD
33029,B18,AFT NEO TIEW RD
91051,B13,OPP SANTA FE MANS
50991,B01,BLK 82
17329,B20,BLK 705
71221,NIL,MEIBAN IND BLDG
09191,B01,THE REGENT S'PORE
75269,B01,OPP BLKS 710/713
15149,B02,PSA BLDG
64301,B04,BLK 325
84479,B16,BLK 713
64489,B03,BLK 946A
43531,B04,BLK 140
84229,B11,BLK 111
83099,B14,AFT PERPETUAL SUCCOUR CH
77199,B14,OPP BLK 500A
64229,B10,LP 93
17389,B04A,OPP WEST BAY RESORT CONDO
53089,B16,FABER GDN
44219,B04,BET BLKS 139/140
97101,B39,BEF JLN MARIAM
46589,B07,BLK 146
43511,B07,BT BATOK SWIM CPLX
59541,B06,OPP KHATIB CAMP
24249,B06,ROTARY SCREENS
66021,B07,NEW TECH PK
80269,B01,
71089,B03,OPP EUNOS TECHNOLINK
21079,B16,OPP JURONG ABATTOIR
20129,B26,BET BLKS 50/51
75061,B25,OPP BEDOK REFORM TRG CTR
22401,B07,AFT SHIPYARD RD
64521,B01A,
50169,NIL,OPP BALESTIER CTR
22399,B08,Aft Jln Buroh
59411,B06,BLK 356
43739,B01,OPP ITE BT BATOK
93171,B15,OPP ISLAND RESORT S'PORE
25499,B06,SUPER CONTINENTAL
47069,B17,NORTHTECH
15219,B12,PASIR VIEW PK
11119,B06,OPP FARRER RD STN
43669,B02,BLK 406
92081,B09,ST PATRICK'S SEC SCH
58059,B30,AFT SEMBAWANG CC
84661,B03,BLK 172
